"","USPS","date","incidD","state"
"127","AK",2020-05-27,0,"Alaska"
"128","AK",2020-05-28,0,"Alaska"
"129","AK",2020-05-29,0,"Alaska"
"130","AK",2020-05-30,0,"Alaska"
"131","AK",2020-05-31,0,"Alaska"
"132","AK",2020-06-01,0,"Alaska"
"133","AK",2020-06-02,0,"Alaska"
"134","AK",2020-06-03,0,"Alaska"
"135","AK",2020-06-04,0,"Alaska"
"136","AK",2020-06-05,0,"Alaska"
"137","AK",2020-06-06,0,"Alaska"
"138","AK",2020-06-07,0,"Alaska"
"139","AK",2020-06-08,0,"Alaska"
"140","AK",2020-06-09,1,"Alaska"
"141","AK",2020-06-10,0,"Alaska"
"142","AK",2020-06-11,0,"Alaska"
"143","AK",2020-06-12,1,"Alaska"
"144","AK",2020-06-13,0,"Alaska"
"145","AK",2020-06-14,0,"Alaska"
"146","AK",2020-06-15,0,"Alaska"
"147","AK",2020-06-16,0,"Alaska"
"148","AK",2020-06-17,0,"Alaska"
"149","AK",2020-06-18,0,"Alaska"
"150","AK",2020-06-19,0,"Alaska"
"151","AK",2020-06-20,0,"Alaska"
"152","AK",2020-06-21,0,"Alaska"
"153","AK",2020-06-22,0,"Alaska"
"154","AK",2020-06-23,0,"Alaska"
"155","AK",2020-06-24,0,"Alaska"
"156","AK",2020-06-25,0,"Alaska"
"157","AK",2020-06-26,1,"Alaska"
"158","AK",2020-06-27,0,"Alaska"
"159","AK",2020-06-28,0,"Alaska"
"160","AK",2020-06-29,0,"Alaska"
"161","AK",2020-06-30,0,"Alaska"
"162","AK",2020-07-01,0,"Alaska"
"163","AK",2020-07-02,0,"Alaska"
"164","AK",2020-07-03,0,"Alaska"
"165","AK",2020-07-04,1,"Alaska"
"166","AK",2020-07-05,0,"Alaska"
"167","AK",2020-07-06,0,"Alaska"
"168","AK",2020-07-07,0,"Alaska"
"169","AK",2020-07-08,0,"Alaska"
"170","AK",2020-07-09,0,"Alaska"
"171","AK",2020-07-10,2,"Alaska"
"172","AK",2020-07-11,0,"Alaska"
"173","AK",2020-07-12,0,"Alaska"
"174","AK",2020-07-13,0,"Alaska"
"175","AK",2020-07-14,0,"Alaska"
"176","AK",2020-07-15,0,"Alaska"
"177","AK",2020-07-16,0,"Alaska"
"178","AK",2020-07-17,0,"Alaska"
"179","AK",2020-07-18,1,"Alaska"
"180","AK",2020-07-19,0,"Alaska"
"181","AK",2020-07-20,0,"Alaska"
"182","AK",2020-07-21,0,"Alaska"
"183","AK",2020-07-22,1,"Alaska"
"184","AK",2020-07-23,0,"Alaska"
"185","AK",2020-07-24,0,"Alaska"
"186","AK",2020-07-25,1,"Alaska"
"187","AK",2020-07-26,0,"Alaska"
"188","AK",2020-07-27,1,"Alaska"
"189","AK",2020-07-28,1,"Alaska"
"190","AK",2020-07-29,0,"Alaska"
"191","AK",2020-07-30,1,"Alaska"
"192","AK",2020-07-31,1,"Alaska"
"193","AK",2020-08-01,1,"Alaska"
"194","AK",2020-08-02,0,"Alaska"
"195","AK",2020-08-03,1,"Alaska"
"196","AK",2020-08-04,0,"Alaska"
"197","AK",2020-08-05,0,"Alaska"
"198","AK",2020-08-06,0,"Alaska"
"199","AK",2020-08-07,0,"Alaska"
"200","AK",2020-08-08,1,"Alaska"
"201","AK",2020-08-09,0,"Alaska"
"202","AK",2020-08-10,0,"Alaska"
"203","AK",2020-08-11,0,"Alaska"
"204","AK",2020-08-12,1,"Alaska"
"205","AK",2020-08-13,0,"Alaska"
"206","AK",2020-08-14,0,"Alaska"
"207","AK",2020-08-15,1,"Alaska"
"208","AK",2020-08-16,0,"Alaska"
"209","AK",2020-08-17,0,"Alaska"
"210","AK",2020-08-18,1,"Alaska"
"211","AK",2020-08-19,0,"Alaska"
"212","AK",2020-08-20,0,"Alaska"
"213","AK",2020-08-21,1,"Alaska"
"214","AK",2020-08-22,0,"Alaska"
"215","AK",2020-08-23,1,"Alaska"
"216","AK",2020-08-24,0,"Alaska"
"217","AK",2020-08-25,4,"Alaska"
"218","AK",2020-08-26,1,"Alaska"
"219","AK",2020-08-27,0,"Alaska"
"220","AK",2020-08-28,0,"Alaska"
"221","AK",2020-08-29,0,"Alaska"
"222","AK",2020-08-30,0,"Alaska"
"223","AK",2020-08-31,0,"Alaska"
"224","AK",2020-09-01,2,"Alaska"
"225","AK",2020-09-02,0,"Alaska"
"226","AK",2020-09-03,1,"Alaska"
"227","AK",2020-09-04,0,"Alaska"
"228","AK",2020-09-05,2,"Alaska"
