state,USPS,datew,incidI,date
Alabama,AL,2020-01-25,0,2020-01-25
Alabama,AL,2020-02-01,0,2020-02-01
Alabama,AL,2020-02-08,0,2020-02-08
Alabama,AL,2020-02-15,0,2020-02-15
Alabama,AL,2020-02-22,0,2020-02-22
Alabama,AL,2020-02-29,0,2020-02-29
Alabama,AL,2020-03-07,0,2020-03-07
Alabama,AL,2020-03-14,15,2020-03-14
Alabama,AL,2020-03-21,134,2020-03-21
Alabama,AL,2020-03-28,652,2020-03-28
Alabama,AL,2020-04-04,926,2020-04-04
Alabama,AL,2020-04-11,1619,2020-04-11
Alabama,AL,2020-04-18,1442,2020-04-18
Alabama,AL,2020-04-25,1486,2020-04-25
Alabama,AL,2020-05-02,1426,2020-05-02
Alabama,AL,2020-05-09,2020,2020-05-09
Alabama,AL,2020-05-16,2108,2020-05-16
Alabama,AL,2020-05-23,2500,2020-05-23
Alabama,AL,2020-05-30,3361,2020-05-30
Alabama,AL,2020-06-06,2666,2020-06-06
Alabama,AL,2020-06-13,5009,2020-06-13
Alabama,AL,2020-06-20,4319,2020-06-20
Alabama,AL,2020-06-27,5400,2020-06-27
Alabama,AL,2020-07-04,8133,2020-07-04
Alabama,AL,2020-07-11,9586,2020-07-11
Alabama,AL,2020-07-18,13379,2020-07-18
Alabama,AL,2020-07-25,12007,2020-07-25
Alabama,AL,2020-08-01,12111,2020-08-01
Alabama,AL,2020-08-08,9555,2020-08-08
Alabama,AL,2020-08-15,7072,2020-08-15
Alabama,AL,2020-08-22,7883,2020-08-22
Alabama,AL,2020-08-29,9346,2020-08-29
Alabama,AL,2020-09-05,6759,2020-09-05
Alabama,AL,2020-09-12,6252,2020-09-12
Alabama,AL,2020-09-19,6412,2020-09-19
Alabama,AL,2020-09-26,7387,2020-09-26
Alabama,AL,2020-10-03,7216,2020-10-03
Alabama,AL,2020-10-10,6517,2020-10-10
Alabama,AL,2020-10-17,7439,2020-10-17
Alabama,AL,2020-10-24,11694,2020-10-24
Alabama,AL,2020-10-31,9782,2020-10-31
Alabama,AL,2020-11-07,9905,2020-11-07
Alabama,AL,2020-11-14,12325,2020-11-14
Alabama,AL,2020-11-21,14865,2020-11-21
Alabama,AL,2020-11-28,14285,2020-11-28
Alabama,AL,2020-12-05,22596,2020-12-05
Alabama,AL,2020-12-12,25252,2020-12-12
Alabama,AL,2020-12-19,27063,2020-12-19
Alabama,AL,2020-12-26,23574,2020-12-26
Alabama,AL,2021-01-02,25980,2021-01-02
Alabama,AL,2021-01-09,29692,2021-01-09
Alabama,AL,2021-01-16,21531,2021-01-16
Alabama,AL,2021-01-23,18761,2021-01-23
Alabama,AL,2021-01-30,16140,2021-01-30
Alabama,AL,2021-02-06,15706,2021-02-06
Alabama,AL,2021-02-13,8569,2021-02-13
Alabama,AL,2021-02-20,6131,2021-02-20
Alabama,AL,2021-02-27,6694,2021-02-27
Alabama,AL,2021-03-06,6747,2021-03-06
Alabama,AL,2021-03-13,3864,2021-03-13
Alabama,AL,2021-03-20,7767,2021-03-20
Alabama,AL,2021-03-27,2975,2021-03-27
Alabama,AL,2021-04-03,2497,2021-04-03
Alabama,AL,2021-04-10,2034,2021-04-10
Alabama,AL,2021-04-17,3511,2021-04-17
Alabama,AL,2021-04-24,3829,2021-04-24
Alabama,AL,2021-05-01,2402,2021-05-01
Alabama,AL,2021-05-08,2431,2021-05-08
Alabama,AL,2021-05-15,9084,2021-05-15
Alabama,AL,2021-05-22,2098,2021-05-22
Alabama,AL,2021-05-29,1479,2021-05-29
Alabama,AL,2021-06-05,2181,2021-06-05
Alabama,AL,2021-06-12,1733,2021-06-12
