incidD,state,date,USPS,Gold_Standard
634,Indiana,1/9/2021,IN,0
634,New Jersey,1/22/2022,NJ,0
631,Illinois,2/19/2022,IL,0
630,Georgia,11/7/2020,GA,1
626,Arizona,1/29/2022,AZ,0
626,Florida,1/29/2022,FL,0
626,Illinois,1/23/2021,IL,0
626,Ohio,1/30/2021,OH,0
625,Indiana,12/5/2020,IN,0
625,Tennessee,1/16/2021,TN,0
623,California,9/19/2020,CA,0
619,Florida,3/13/2021,FL,0
619,Illinois,4/25/2020,IL,0
618,Oklahoma,12/25/2021,OK,1
617,Texas,1/15/2022,TX,0
615,Arizona,12/19/2020,AZ,0
615,California,11/20/2021,CA,0
612,Maryland,5/29/2021,MD,1
611,Tennessee,12/19/2020,TN,0
611,Texas,8/14/2021,TX,0
610,Michigan,1/2/2021,MI,0
608,Pennsylvania,12/4/2021,PA,0
607,Florida,10/3/2020,FL,0
607,Ohio,9/25/2021,OH,0
606,New York,3/13/2021,NY,0
606,Ohio,10/2/2021,OH,0
604,Michigan,12/26/2020,MI,0
603,California,10/16/2021,CA,0
603,Michigan,12/25/2021,MI,0
600,California,11/13/2021,CA,0
599,Massachusetts,5/23/2020,MA,0
598,Illinois,11/14/2020,IL,0
598,New York,4/3/2021,NY,0
598,Ohio,10/16/2021,OH,0
597,Georgia,10/16/2021,GA,0
597,South Carolina,2/6/2021,SC,0
595,California,8/28/2021,CA,0
594,Connecticut,4/18/2020,CT,0
593,California,10/30/2021,CA,0
592,North Carolina,1/16/2021,NC,0
590,California,9/26/2020,CA,0
590,Georgia,9/11/2021,GA,0
587,Texas,10/3/2020,TX,0
586,Michigan,2/12/2022,MI,0
586,Ohio,10/9/2021,OH,0
586,Tennessee,1/15/2022,TN,0
583,Michigan,11/28/2020,MI,0
583,Texas,11/20/2021,TX,0
582,Georgia,3/6/2021,GA,0
581,California,9/25/2021,CA,0
580,Florida,9/17/2022,FL,0
580,Ohio,11/27/2021,OH,0
579,Illinois,4/18/2020,IL,0
578,Arizona,7/18/2020,AZ,0
577,Virginia,2/5/2022,VA,0
576,California,10/3/2020,CA,0
576,California,11/6/2021,CA,0
576,Connecticut,5/2/2020,CT,0
575,New Jersey,1/2/2021,NJ,0
574,Florida,8/13/2022,FL,0
573,Indiana,1/8/2022,IN,0
572,California,3/26/2022,CA,0
572,Texas,10/31/2020,TX,0
571,North Carolina,1/30/2021,NC,0
570,Illinois,2/12/2022,IL,0
570,Iowa,12/12/2020,IA,1
570,New Jersey,1/29/2022,NJ,0
569,North Carolina,1/23/2021,NC,0
568,Illinois,1/30/2021,IL,0
568,New York,6/6/2020,NY,0
568,North Carolina,2/12/2022,NC,0
567,Indiana,12/26/2020,IN,0
565,Pennsylvania,4/18/2020,PA,0
565,Pennsylvania,5/16/2020,PA,0
562,New York,3/20/2021,NY,0
560,New Jersey,1/16/2021,NJ,0
559,New York,12/12/2020,NY,0
559,Ohio,10/23/2021,OH,0
558,Florida,10/10/2020,FL,0
558,Texas,12/4/2021,TX,0
557,Arizona,7/25/2020,AZ,0
556,Pennsylvania,11/20/2021,PA,0
552,Georgia,2/26/2022,GA,0
552,New Jersey,5/30/2020,NJ,0
548,Georgia,9/4/2021,GA,0
544,Pennsylvania,10/23/2021,PA,0
542,Tennessee,3/12/2022,TN,0
541,Michigan,2/19/2022,MI,0
540,Illinois,5/30/2020,IL,0
540,North Carolina,9/18/2021,NC,0
538,Alabama,1/23/2021,AL,0
537,South Carolina,1/30/2021,SC,0
536,Alabama,9/18/2021,AL,0
536,Arizona,2/12/2022,AZ,0
533,Arizona,2/20/2021,AZ,0
533,California,4/25/2020,CA,0
533,Illinois,6/6/2020,IL,0
532,Indiana,1/15/2022,IN,0
532,Kansas,1/16/2021,KS,1
532,North Carolina,1/9/2021,NC,0
532,Pennsylvania,11/21/2020,PA,0
531,Virginia,2/19/2022,VA,0
528,California,4/18/2020,CA,0
528,Michigan,11/20/2021,MI,0
527,North Carolina,2/13/2021,NC,0
527,Tennessee,1/2/2021,TN,0
526,New York,3/27/2021,NY,0
525,South Carolina,2/5/2022,SC,0
524,California,4/17/2021,CA,0
524,Georgia,10/30/2021,GA,0
524,Georgia,1/29/2022,GA,0
523,Michigan,1/23/2021,MI,0
522,Michigan,5/9/2020,MI,0
522,Ohio,9/18/2021,OH,0
521,New Jersey,1/30/2021,NJ,0
520,New Jersey,1/23/2021,NJ,0
519,Ohio,2/12/2022,OH,0
519,Tennessee,9/25/2021,TN,0
518,Massachusetts,6/6/2020,MA,0
518,Pennsylvania,2/26/2022,PA,0
517,Georgia,2/5/2022,GA,0
516,Georgia,2/27/2021,GA,0
516,Indiana,1/29/2022,IN,0
516,Texas,10/17/2020,TX,0
