incidD,state,date,USPS,Gold_Standard
345,Georgia,8/8/2020,GA,0
345,Louisiana,1/9/2021,LA,0
344,California,11/7/2020,CA,0
344,Colorado,1/8/2022,CO,0
344,Illinois,7/11/2020,IL,1
344,South Carolina,2/20/2021,SC,0
344,South Carolina,2/12/2022,SC,0
343,Massachusetts,2/13/2021,MA,0
342,California,5/8/2021,CA,0
342,California,4/23/2022,CA,0
342,Florida,6/18/2022,FL,0
342,Georgia,1/22/2022,GA,0
342,Oklahoma,2/19/2022,OK,0
341,California,4/9/2022,CA,0
341,Massachusetts,1/30/2021,MA,0
340,North Carolina,12/26/2020,NC,0
340,Pennsylvania,11/27/2021,PA,0
339,Illinois,2/20/2021,IL,0
339,Maryland,4/25/2020,MD,0
339,Michigan,5/23/2020,MI,0
339,Missouri,2/19/2022,MO,0
338,Alabama,2/27/2021,AL,0
338,Florida,11/7/2020,FL,0
338,Florida,4/10/2021,FL,0
338,New Jersey,12/5/2020,NJ,0
337,Illinois,6/20/2020,IL,0
337,Massachusetts,2/6/2021,MA,0
336,Arizona,3/26/2022,AZ,0
336,Connecticut,5/23/2020,CT,0
336,Missouri,1/16/2021,MO,0
336,Wisconsin,1/16/2021,WI,0
335,Arizona,12/4/2021,AZ,0
335,Mississippi,1/16/2021,MS,0
335,Ohio,9/4/2021,OH,0
333,Arizona,7/11/2020,AZ,0
333,Georgia,12/5/2020,GA,0
333,Michigan,11/13/2021,MI,0
332,New Jersey,7/11/2020,NJ,0
331,New Jersey,3/13/2021,NJ,0
330,Tennessee,11/21/2020,TN,0
329,Illinois,9/18/2021,IL,0
329,Indiana,1/1/2022,IN,0
329,South Carolina,7/25/2020,SC,0
329,South Carolina,9/4/2021,SC,0
328,Kentucky,1/30/2021,KY,0
328,Kentucky,10/2/2021,KY,0
328,Michigan,10/23/2021,MI,0
327,Georgia,3/13/2021,GA,0
327,Minnesota,11/21/2020,MN,0
327,Missouri,2/12/2022,MO,0
326,North Carolina,10/8/2022,NC,0
325,Connecticut,4/11/2020,CT,0
325,Georgia,8/1/2020,GA,0
325,Minnesota,12/26/2020,MN,0
324,Colorado,12/12/2020,CO,0
324,Iowa,12/19/2020,IA,0
324,Michigan,2/6/2021,MI,0
323,Kansas,1/2/2021,KS,0
323,Louisiana,9/25/2021,LA,0
323,Minnesota,11/28/2020,MN,0
323,Virginia,1/16/2021,VA,0
322,Alabama,10/16/2021,AL,0
322,Georgia,11/14/2020,GA,0
322,New York,12/4/2021,NY,0
322,Pennsylvania,3/5/2022,PA,0
321,Illinois,12/11/2021,IL,0
321,Tennessee,11/28/2020,TN,0
321,Wisconsin,11/28/2020,WI,0
320,California,8/27/2022,CA,0
319,New Jersey,3/6/2021,NJ,0
319,Virginia,2/6/2021,VA,0
318,California,4/16/2022,CA,0
318,Louisiana,1/30/2021,LA,0
317,Maryland,5/23/2020,MD,0
317,Ohio,2/20/2021,OH,0
316,Georgia,7/25/2020,GA,0
316,Pennsylvania,4/24/2021,PA,0
315,California,9/10/2022,CA,0
315,North Carolina,2/27/2021,NC,0
314,Illinois,3/5/2022,IL,0
314,Missouri,12/12/2020,MO,0
314,Texas,5/15/2021,TX,0
314,Virginia,10/16/2021,VA,0
313,Ohio,5/2/2020,OH,0
312,Arizona,10/2/2021,AZ,0
312,California,4/30/2022,CA,0
312,Florida,7/4/2020,FL,0
312,Georgia,3/19/2022,GA,0
312,Maryland,1/8/2022,MD,0
312,Massachusetts,12/26/2020,MA,0
312,Michigan,11/6/2021,MI,0
312,Wisconsin,1/9/2021,WI,0
311,California,8/6/2022,CA,0
311,Florida,4/18/2020,FL,0
311,Indiana,12/4/2021,IN,0
311,Nevada,1/16/2021,NV,0
310,Massachusetts,1/8/2022,MA,0
309,Florida,5/2/2020,FL,0
309,Kentucky,6/5/2021,KY,1
309,Mississippi,9/18/2021,MS,0
309,Wisconsin,2/5/2022,WI,0
308,Arizona,9/25/2021,AZ,0
308,Connecticut,1/2/2021,CT,0
308,Florida,5/29/2021,FL,0
308,Maryland,1/23/2021,MD,0
308,Mississippi,2/12/2022,MS,0
307,California,4/11/2020,CA,0
307,Louisiana,8/14/2021,LA,0
307,Louisiana,1/29/2022,LA,0
307,North Carolina,10/23/2021,NC,0
307,Pennsylvania,3/12/2022,PA,0
307,Wisconsin,12/26/2020,WI,0
306,California,8/20/2022,CA,0
306,Florida,4/25/2020,FL,0
306,Kansas,2/6/2021,KS,0
306,Kentucky,2/6/2021,KY,0
306,Mississippi,1/9/2021,MS,0
305,Alabama,12/5/2020,AL,0
305,New Jersey,2/12/2022,NJ,0
304,Arizona,9/18/2021,AZ,0
304,California,7/23/2022,CA,0
304,Georgia,3/20/2021,GA,0
304,Maryland,12/19/2020,MD,0
304,South Carolina,10/16/2021,SC,0
304,Tennessee,10/16/2021,TN,0
303,Louisiana,5/2/2020,LA,0
303,New York,10/2/2021,NY,0
302,Georgia,9/19/2020,GA,0
302,Indiana,11/7/2020,IN,0
302,Kentucky,3/27/2021,KY,0
302,Nevada,1/9/2021,NV,0
302,New Jersey,6/20/2020,NJ,0
301,Arizona,12/5/2020,AZ,0
301,Georgia,9/26/2020,GA,0
301,South Carolina,2/13/2021,SC,0
300,Arizona,10/30/2021,AZ,0
300,Indiana,12/25/2021,IN,0
300,Wisconsin,10/31/2020,WI,0
299,Georgia,9/12/2020,GA,0
299,Washington,2/19/2022,WA,0
298,Illinois,10/24/2020,IL,0
297,Georgia,12/26/2020,GA,0
297,Georgia,12/4/2021,GA,0
296,Indiana,10/2/2021,IN,0
296,North Carolina,12/5/2020,NC,0
296,Virginia,10/2/2021,VA,0
296,Wisconsin,1/22/2022,WI,0
295,Missouri,1/15/2022,MO,0
294,Alabama,12/26/2020,AL,0
294,California,8/13/2022,CA,0
294,Indiana,1/30/2021,IN,0
294,Michigan,4/10/2021,MI,0
294,Minnesota,1/9/2021,MN,0
294,Washington,1/29/2022,WA,0
293,California,8/14/2021,CA,0
293,Illinois,3/6/2021,IL,0
293,Kentucky,1/23/2021,KY,0
293,Washington,9/25/2021,WA,0
292,Alabama,2/26/2022,AL,0
292,California,11/14/2020,CA,0
292,Tennessee,10/23/2021,TN,0
292,Tennessee,12/11/2021,TN,0
291,North Carolina,3/6/2021,NC,0
290,Arkansas,12/12/2020,AR,0
290,Illinois,10/31/2020,IL,0
290,North Carolina,1/22/2022,NC,0
289,Alabama,12/19/2020,AL,0
289,Maryland,2/5/2022,MD,0
288,Arizona,11/20/2021,AZ,0
288,Arkansas,1/2/2021,AR,0
288,Mississippi,8/28/2021,MS,0
287,California,5/29/2021,CA,0
287,California,6/26/2021,CA,0
287,California,5/14/2022,CA,0
287,Missouri,2/13/2021,MO,0
287,North Carolina,10/30/2021,NC,0
287,Oklahoma,3/5/2022,OK,0
287,South Carolina,8/1/2020,SC,0
286,California,6/5/2021,CA,0
