state,USPS,datew,incidH,date
Alabama,AL,2020-01-04,0,2020-01-04
Alabama,AL,2020-01-11,0,2020-01-11
Alabama,AL,2020-01-18,0,2020-01-18
Alabama,AL,2020-01-25,0,2020-01-25
Alabama,AL,2020-02-01,0,2020-02-01
Alabama,AL,2020-02-08,0,2020-02-08
Alabama,AL,2020-02-15,0,2020-02-15
Alabama,AL,2020-02-22,0,2020-02-22
Alabama,AL,2020-02-29,0,2020-02-29
Alabama,AL,2020-03-07,0,2020-03-07
Alabama,AL,2020-03-14,0,2020-03-14
Alabama,AL,2020-03-21,0,2020-03-21
Alabama,AL,2020-03-28,0,2020-03-28
Alabama,AL,2020-04-04,0,2020-04-04
Alabama,AL,2020-04-11,0,2020-04-11
Alabama,AL,2020-04-18,0,2020-04-18
Alabama,AL,2020-04-25,0,2020-04-25
Alabama,AL,2020-05-02,0,2020-05-02
Alabama,AL,2020-05-09,0,2020-05-09
Alabama,AL,2020-05-16,0,2020-05-16
Alabama,AL,2020-05-23,0,2020-05-23
Alabama,AL,2020-05-30,0,2020-05-30
Alabama,AL,2020-06-06,0,2020-06-06
Alabama,AL,2020-06-13,0,2020-06-13
Alabama,AL,2020-06-20,0,2020-06-20
Alabama,AL,2020-06-27,0,2020-06-27
Alabama,AL,2020-07-04,0,2020-07-04
Alabama,AL,2020-07-11,0,2020-07-11
Alabama,AL,2020-07-18,5653,2020-07-18
Alabama,AL,2020-07-25,11332,2020-07-25
Alabama,AL,2020-08-01,12536,2020-08-01
Alabama,AL,2020-08-08,11840,2020-08-08
Alabama,AL,2020-08-15,10468,2020-08-15
Alabama,AL,2020-08-22,9133,2020-08-22
Alabama,AL,2020-08-29,8156,2020-08-29
Alabama,AL,2020-09-05,6736,2020-09-05
Alabama,AL,2020-09-12,6062,2020-09-12
Alabama,AL,2020-09-19,5577,2020-09-19
Alabama,AL,2020-09-26,5510,2020-09-26
Alabama,AL,2020-10-03,5511,2020-10-03
Alabama,AL,2020-10-10,5671,2020-10-10
Alabama,AL,2020-10-17,6064,2020-10-17
Alabama,AL,2020-10-24,6276,2020-10-24
Alabama,AL,2020-10-31,7042,2020-10-31
Alabama,AL,2020-11-07,7381,2020-11-07
Alabama,AL,2020-11-14,8386,2020-11-14
Alabama,AL,2020-11-21,9081,2020-11-21
Alabama,AL,2020-11-28,10407,2020-11-28
Alabama,AL,2020-12-05,12652,2020-12-05
Alabama,AL,2020-12-12,14873,2020-12-12
Alabama,AL,2020-12-19,17037,2020-12-19
Alabama,AL,2020-12-26,18233,2020-12-26
Alabama,AL,2021-01-02,20138,2021-01-02
Alabama,AL,2021-01-09,21817,2021-01-09
Alabama,AL,2021-01-16,21455,2021-01-16
Alabama,AL,2021-01-23,18714,2021-01-23
Alabama,AL,2021-01-30,15525,2021-01-30
Alabama,AL,2021-02-06,12833,2021-02-06
Alabama,AL,2021-02-13,10106,2021-02-13
Alabama,AL,2021-02-20,7692,2021-02-20
Alabama,AL,2021-02-27,5757,2021-02-27
Alabama,AL,2021-03-06,4343,2021-03-06
Alabama,AL,2021-03-13,3501,2021-03-13
Alabama,AL,2021-03-20,3004,2021-03-20
Alabama,AL,2021-03-27,2771,2021-03-27
Alabama,AL,2021-04-03,2562,2021-04-03
Alabama,AL,2021-04-10,2338,2021-04-10
Alabama,AL,2021-04-17,2374,2021-04-17
Alabama,AL,2021-04-24,2578,2021-04-24
Alabama,AL,2021-05-01,2366,2021-05-01
Alabama,AL,2021-05-08,2597,2021-05-08
Alabama,AL,2021-05-15,2596,2021-05-15
Alabama,AL,2021-05-22,2284,2021-05-22
Alabama,AL,2021-05-29,2040,2021-05-29
Alabama,AL,2021-06-05,1896,2021-06-05
Alabama,AL,2021-06-12,1572,2021-06-12
Alabama,AL,2021-06-19,1365,2021-06-19
Alabama,AL,2021-06-26,1306,2021-06-26
Alabama,AL,2021-07-03,1779,2021-07-03
Alabama,AL,2021-07-10,1749,2021-07-10
Alabama,AL,2021-07-17,2474,2021-07-17
Alabama,AL,2021-07-24,4380,2021-07-24
Alabama,AL,2021-07-31,8271,2021-07-31
Alabama,AL,2021-08-07,12588,2021-08-07
Alabama,AL,2021-08-14,16575,2021-08-14
Alabama,AL,2021-08-21,19246,2021-08-21
Alabama,AL,2021-08-28,20111,2021-08-28
Alabama,AL,2021-09-04,20499,2021-09-04
Alabama,AL,2021-09-11,19445,2021-09-11
Alabama,AL,2021-09-18,16803,2021-09-18
Alabama,AL,2021-09-25,13073,2021-09-25
Alabama,AL,2021-10-02,10161,2021-10-02
Alabama,AL,2021-10-09,7894,2021-10-09
Alabama,AL,2021-10-16,6112,2021-10-16
Alabama,AL,2021-10-23,4628,2021-10-23
Alabama,AL,2021-10-30,3673,2021-10-30
Alabama,AL,2021-11-06,3016,2021-11-06
Alabama,AL,2021-11-13,2352,2021-11-13
Alabama,AL,2021-11-20,2277,2021-11-20
Alabama,AL,2021-11-27,2203,2021-11-27
Alabama,AL,2021-12-04,2411,2021-12-04
Alabama,AL,2021-12-11,2510,2021-12-11
Alabama,AL,2021-12-18,2696,2021-12-18
Alabama,AL,2021-12-25,3087,2021-12-25
Alabama,AL,2022-01-01,5125,2022-01-01
Alabama,AL,2022-01-08,9703,2022-01-08
Alabama,AL,2022-01-15,14701,2022-01-15
Alabama,AL,2022-01-22,18966,2022-01-22
Alabama,AL,2022-01-29,21200,2022-01-29
Alabama,AL,2022-02-05,19558,2022-02-05
Alabama,AL,2022-02-12,15488,2022-02-12
Alabama,AL,2022-02-19,10804,2022-02-19
Alabama,AL,2022-02-26,7177,2022-02-26
Alabama,AL,2022-03-05,4513,2022-03-05
Alabama,AL,2022-03-12,2743,2022-03-12
Alabama,AL,2022-03-19,1783,2022-03-19
Alabama,AL,2022-03-26,1150,2022-03-26
Alabama,AL,2022-04-02,787,2022-04-02
Alabama,AL,2022-04-09,591,2022-04-09
Alabama,AL,2022-04-16,505,2022-04-16
Alabama,AL,2022-04-23,479,2022-04-23
Alabama,AL,2022-04-30,487,2022-04-30
Alabama,AL,2022-05-07,525,2022-05-07
Alabama,AL,2022-05-14,560,2022-05-14
Alabama,AL,2022-05-21,688,2022-05-21
Alabama,AL,2022-05-28,960,2022-05-28
Alabama,AL,2022-06-04,1382,2022-06-04
Alabama,AL,2022-06-11,1787,2022-06-11
Alabama,AL,2022-06-18,2123,2022-06-18
Alabama,AL,2022-06-25,2741,2022-06-25
Alabama,AL,2022-07-02,3321,2022-07-02
Alabama,AL,2022-07-09,3988,2022-07-09
Alabama,AL,2022-07-16,4733,2022-07-16
Alabama,AL,2022-07-23,5140,2022-07-23
Alabama,AL,2022-07-30,5633,2022-07-30
Alabama,AL,2022-08-06,5168,2022-08-06
Alabama,AL,2022-08-13,5026,2022-08-13
