state,USPS,datew,incidH,date
Alabama,AL,2022-08-20,4817,2022-08-20
Alabama,AL,2022-08-27,4504,2022-08-27
Alabama,AL,2022-09-03,4309,2022-09-03
Alabama,AL,2022-09-10,4035,2022-09-10
Alabama,AL,2022-09-17,3045,2022-09-17
Alabama,AL,2022-09-24,2280,2022-09-24
Alabama,AL,2022-10-01,1881,2022-10-01
Alabama,AL,2022-10-08,1709,2022-10-08
Alabama,AL,2022-10-15,1422,2022-10-15
Alabama,AL,2022-10-22,1285,2022-10-22
Alabama,AL,2022-10-29,1305,2022-10-29
Alabama,AL,2022-11-05,1434,2022-11-05
Alabama,AL,2022-11-12,1442,2022-11-12
Alabama,AL,2022-11-19,1322,2022-11-19
Alabama,AL,2022-11-26,1314,2022-11-26
Alabama,AL,2022-12-03,1772,2022-12-03
Alabama,AL,2022-12-10,2207,2022-12-10
Alabama,AL,2022-12-17,2335,2022-12-17
Alabama,AL,2022-12-24,2423,2022-12-24
Alabama,AL,2022-12-31,3294,2022-12-31
Alabama,AL,2023-01-07,3992,2023-01-07
Alabama,AL,2023-01-14,3775,2023-01-14
Alabama,AL,2023-01-21,3391,2023-01-21
Alabama,AL,2023-01-28,2948,2023-01-28
Alabama,AL,2023-02-04,2741,2023-02-04
Alabama,AL,2023-02-11,2636,2023-02-11
Alabama,AL,2023-02-18,2437,2023-02-18
Alabama,AL,2023-02-25,2176,2023-02-25
Alabama,AL,2023-03-04,1937,2023-03-04
Alabama,AL,2023-03-11,1383,2023-03-11
Alabama,AL,2023-03-18,334,2023-03-18
Alaska,AK,2020-03-28,0,2020-03-28
Alaska,AK,2020-04-04,0,2020-04-04
Alaska,AK,2020-04-11,0,2020-04-11
Alaska,AK,2020-04-18,0,2020-04-18
Alaska,AK,2020-04-25,0,2020-04-25
Alaska,AK,2020-05-02,0,2020-05-02
Alaska,AK,2020-05-09,0,2020-05-09
Alaska,AK,2020-05-16,0,2020-05-16
Alaska,AK,2020-05-23,0,2020-05-23
Alaska,AK,2020-05-30,0,2020-05-30
Alaska,AK,2020-06-06,0,2020-06-06
Alaska,AK,2020-06-13,0,2020-06-13
Alaska,AK,2020-06-20,0,2020-06-20
Alaska,AK,2020-06-27,0,2020-06-27
Alaska,AK,2020-07-04,0,2020-07-04
Alaska,AK,2020-07-11,0,2020-07-11
Alaska,AK,2020-07-18,44,2020-07-18
Alaska,AK,2020-07-25,153,2020-07-25
Alaska,AK,2020-08-01,203,2020-08-01
Alaska,AK,2020-08-08,193,2020-08-08
Alaska,AK,2020-08-15,212,2020-08-15
Alaska,AK,2020-08-22,253,2020-08-22
Alaska,AK,2020-08-29,232,2020-08-29
Alaska,AK,2020-09-05,245,2020-09-05
Alaska,AK,2020-09-12,218,2020-09-12
Alaska,AK,2020-09-19,223,2020-09-19
Alaska,AK,2020-09-26,250,2020-09-26
Alaska,AK,2020-10-03,217,2020-10-03
Alaska,AK,2020-10-10,246,2020-10-10
Alaska,AK,2020-10-17,306,2020-10-17
Alaska,AK,2020-10-24,347,2020-10-24
Alaska,AK,2020-10-31,468,2020-10-31
Alaska,AK,2020-11-07,654,2020-11-07
Alaska,AK,2020-11-14,766,2020-11-14
Alaska,AK,2020-11-21,846,2020-11-21
Alaska,AK,2020-11-28,978,2020-11-28
Alaska,AK,2020-12-05,1025,2020-12-05
Alaska,AK,2020-12-12,994,2020-12-12
Alaska,AK,2020-12-19,885,2020-12-19
Alaska,AK,2020-12-26,627,2020-12-26
Alaska,AK,2021-01-02,514,2021-01-02
Alaska,AK,2021-01-09,556,2021-01-09
Alaska,AK,2021-01-16,444,2021-01-16
Alaska,AK,2021-01-23,355,2021-01-23
Alaska,AK,2021-01-30,297,2021-01-30
Alaska,AK,2021-02-06,279,2021-02-06
Alaska,AK,2021-02-13,234,2021-02-13
Alaska,AK,2021-02-20,210,2021-02-20
Alaska,AK,2021-02-27,249,2021-02-27
Alaska,AK,2021-03-06,177,2021-03-06
Alaska,AK,2021-03-13,235,2021-03-13
Alaska,AK,2021-03-20,247,2021-03-20
Alaska,AK,2021-03-27,213,2021-03-27
Alaska,AK,2021-04-03,258,2021-04-03
Alaska,AK,2021-04-10,279,2021-04-10
Alaska,AK,2021-04-17,265,2021-04-17
Alaska,AK,2021-04-24,278,2021-04-24
Alaska,AK,2021-05-01,328,2021-05-01
Alaska,AK,2021-05-08,342,2021-05-08
Alaska,AK,2021-05-15,238,2021-05-15
Alaska,AK,2021-05-22,146,2021-05-22
Alaska,AK,2021-05-29,119,2021-05-29
Alaska,AK,2021-06-05,139,2021-06-05
Alaska,AK,2021-06-12,129,2021-06-12
Alaska,AK,2021-06-19,102,2021-06-19
Alaska,AK,2021-06-26,92,2021-06-26
Alaska,AK,2021-07-03,120,2021-07-03
Alaska,AK,2021-07-10,203,2021-07-10
Alaska,AK,2021-07-17,375,2021-07-17
Alaska,AK,2021-07-24,540,2021-07-24
Alaska,AK,2021-07-31,710,2021-07-31
Alaska,AK,2021-08-07,708,2021-08-07
Alaska,AK,2021-08-14,820,2021-08-14
Alaska,AK,2021-08-21,898,2021-08-21
Alaska,AK,2021-08-28,956,2021-08-28
Alaska,AK,2021-09-04,1139,2021-09-04
Alaska,AK,2021-09-11,1368,2021-09-11
Alaska,AK,2021-09-18,1427,2021-09-18
Alaska,AK,2021-09-25,1478,2021-09-25
Alaska,AK,2021-10-02,1448,2021-10-02
Alaska,AK,2021-10-09,1316,2021-10-09
Alaska,AK,2021-10-16,1407,2021-10-16
Alaska,AK,2021-10-23,1555,2021-10-23
Alaska,AK,2021-10-30,1576,2021-10-30
Alaska,AK,2021-11-06,1181,2021-11-06
Alaska,AK,2021-11-13,972,2021-11-13
Alaska,AK,2021-11-20,938,2021-11-20
Alaska,AK,2021-11-27,624,2021-11-27
Alaska,AK,2021-12-04,518,2021-12-04
Alaska,AK,2021-12-11,533,2021-12-11
Alaska,AK,2021-12-18,443,2021-12-18
Alaska,AK,2021-12-25,397,2021-12-25
Alaska,AK,2022-01-01,367,2022-01-01
Alaska,AK,2022-01-08,473,2022-01-08
Alaska,AK,2022-01-15,676,2022-01-15
Alaska,AK,2022-01-22,893,2022-01-22
Alaska,AK,2022-01-29,1165,2022-01-29
Alaska,AK,2022-02-05,1085,2022-02-05
Alaska,AK,2022-02-12,865,2022-02-12
Alaska,AK,2022-02-19,715,2022-02-19
Alaska,AK,2022-02-26,645,2022-02-26
Alaska,AK,2022-03-05,471,2022-03-05
Alaska,AK,2022-03-12,377,2022-03-12
Alaska,AK,2022-03-19,290,2022-03-19
Alaska,AK,2022-03-26,256,2022-03-26
Alaska,AK,2022-04-02,239,2022-04-02
Alaska,AK,2022-04-09,199,2022-04-09
Alaska,AK,2022-04-16,171,2022-04-16
Alaska,AK,2022-04-23,139,2022-04-23
Alaska,AK,2022-04-30,196,2022-04-30
Alaska,AK,2022-05-07,229,2022-05-07
Alaska,AK,2022-05-14,313,2022-05-14
Alaska,AK,2022-05-21,280,2022-05-21
Alaska,AK,2022-05-28,271,2022-05-28
Alaska,AK,2022-06-04,290,2022-06-04
Alaska,AK,2022-06-11,319,2022-06-11
Alaska,AK,2022-06-18,416,2022-06-18
Alaska,AK,2022-06-25,446,2022-06-25
Alaska,AK,2022-07-02,469,2022-07-02
Alaska,AK,2022-07-09,404,2022-07-09
Alaska,AK,2022-07-16,455,2022-07-16
Alaska,AK,2022-07-23,586,2022-07-23
Alaska,AK,2022-07-30,556,2022-07-30
Alaska,AK,2022-08-06,560,2022-08-06
Alaska,AK,2022-08-13,528,2022-08-13
Alaska,AK,2022-08-20,656,2022-08-20
Alaska,AK,2022-08-27,583,2022-08-27
Alaska,AK,2022-09-03,452,2022-09-03
Alaska,AK,2022-09-10,392,2022-09-10
Alaska,AK,2022-09-17,363,2022-09-17
Alaska,AK,2022-09-24,276,2022-09-24
Alaska,AK,2022-10-01,255,2022-10-01
Alaska,AK,2022-10-08,218,2022-10-08
Alaska,AK,2022-10-15,237,2022-10-15
Alaska,AK,2022-10-22,181,2022-10-22
Alaska,AK,2022-10-29,164,2022-10-29
Alaska,AK,2022-11-05,146,2022-11-05
Alaska,AK,2022-11-12,165,2022-11-12
Alaska,AK,2022-11-19,236,2022-11-19
Alaska,AK,2022-11-26,200,2022-11-26
Alaska,AK,2022-12-03,247,2022-12-03
Alaska,AK,2022-12-10,289,2022-12-10
Alaska,AK,2022-12-17,315,2022-12-17
Alaska,AK,2022-12-24,266,2022-12-24
Alaska,AK,2022-12-31,211,2022-12-31
Alaska,AK,2023-01-07,271,2023-01-07
Alaska,AK,2023-01-14,266,2023-01-14
Alaska,AK,2023-01-21,297,2023-01-21
Alaska,AK,2023-01-28,334,2023-01-28
Alaska,AK,2023-02-04,422,2023-02-04
Alaska,AK,2023-02-11,299,2023-02-11
Alaska,AK,2023-02-18,289,2023-02-18
Alaska,AK,2023-02-25,269,2023-02-25
Alaska,AK,2023-03-04,311,2023-03-04
Alaska,AK,2023-03-11,204,2023-03-11
Alaska,AK,2023-03-18,52,2023-03-18
Arizona,AZ,2020-03-07,0,2020-03-07
Arizona,AZ,2020-03-14,0,2020-03-14
Arizona,AZ,2020-03-21,0,2020-03-21
Arizona,AZ,2020-03-28,0,2020-03-28
Arizona,AZ,2020-04-04,0,2020-04-04
Arizona,AZ,2020-04-11,0,2020-04-11
Arizona,AZ,2020-04-18,0,2020-04-18
Arizona,AZ,2020-04-25,0,2020-04-25
Arizona,AZ,2020-05-02,266,2020-05-02
Arizona,AZ,2020-05-09,515,2020-05-09
Arizona,AZ,2020-05-16,498,2020-05-16
Arizona,AZ,2020-05-23,662,2020-05-23
Arizona,AZ,2020-05-30,629,2020-05-30
Arizona,AZ,2020-06-06,112,2020-06-06
Arizona,AZ,2020-06-13,296,2020-06-13
Arizona,AZ,2020-06-20,56,2020-06-20
Arizona,AZ,2020-06-27,1196,2020-06-27
Arizona,AZ,2020-07-04,1838,2020-07-04
Arizona,AZ,2020-07-11,2122,2020-07-11
Arizona,AZ,2020-07-18,9727,2020-07-18
Arizona,AZ,2020-07-25,15665,2020-07-25
Arizona,AZ,2020-08-01,13880,2020-08-01
Arizona,AZ,2020-08-08,10978,2020-08-08
Arizona,AZ,2020-08-15,7978,2020-08-15
Arizona,AZ,2020-08-22,6388,2020-08-22
Arizona,AZ,2020-08-29,5043,2020-08-29
Arizona,AZ,2020-09-05,3681,2020-09-05
Arizona,AZ,2020-09-12,2664,2020-09-12
Arizona,AZ,2020-09-19,2931,2020-09-19
Arizona,AZ,2020-09-26,2826,2020-09-26
Arizona,AZ,2020-10-03,2649,2020-10-03
Arizona,AZ,2020-10-10,3762,2020-10-10
Arizona,AZ,2020-10-17,3637,2020-10-17
Arizona,AZ,2020-10-24,4175,2020-10-24
Arizona,AZ,2020-10-31,4381,2020-10-31
Arizona,AZ,2020-11-07,5477,2020-11-07
Arizona,AZ,2020-11-14,7264,2020-11-14
Arizona,AZ,2020-11-21,9955,2020-11-21
Arizona,AZ,2020-11-28,13302,2020-11-28
Arizona,AZ,2020-12-05,16810,2020-12-05
Arizona,AZ,2020-12-12,20477,2020-12-12
Arizona,AZ,2020-12-19,24068,2020-12-19
Arizona,AZ,2020-12-26,26669,2020-12-26
Arizona,AZ,2021-01-02,29182,2021-01-02
Arizona,AZ,2021-01-09,31454,2021-01-09
Arizona,AZ,2021-01-16,31962,2021-01-16
Arizona,AZ,2021-01-23,29670,2021-01-23
Arizona,AZ,2021-01-30,25616,2021-01-30
Arizona,AZ,2021-02-06,20522,2021-02-06
Arizona,AZ,2021-02-13,14984,2021-02-13
Arizona,AZ,2021-02-20,10778,2021-02-20
Arizona,AZ,2021-02-27,7838,2021-02-27
Arizona,AZ,2021-03-06,5748,2021-03-06
Arizona,AZ,2021-03-13,4300,2021-03-13
Arizona,AZ,2021-03-20,3394,2021-03-20
Arizona,AZ,2021-03-27,2817,2021-03-27
Arizona,AZ,2021-04-03,2627,2021-04-03
Arizona,AZ,2021-04-10,2580,2021-04-10
Arizona,AZ,2021-04-17,2558,2021-04-17
Arizona,AZ,2021-04-24,2757,2021-04-24
Arizona,AZ,2021-05-01,2980,2021-05-01
Arizona,AZ,2021-05-08,2869,2021-05-08
Arizona,AZ,2021-05-15,2830,2021-05-15
Arizona,AZ,2021-05-22,2875,2021-05-22
Arizona,AZ,2021-05-29,2780,2021-05-29
Arizona,AZ,2021-06-05,2357,2021-06-05
Arizona,AZ,2021-06-12,2118,2021-06-12
Arizona,AZ,2021-06-19,2186,2021-06-19
Arizona,AZ,2021-06-26,2372,2021-06-26
Arizona,AZ,2021-07-03,2533,2021-07-03
Arizona,AZ,2021-07-10,2736,2021-07-10
Arizona,AZ,2021-07-17,3468,2021-07-17
Arizona,AZ,2021-07-24,4357,2021-07-24
Arizona,AZ,2021-07-31,5726,2021-07-31
Arizona,AZ,2021-08-07,7373,2021-08-07
Arizona,AZ,2021-08-14,9031,2021-08-14
Arizona,AZ,2021-08-21,11132,2021-08-21
Arizona,AZ,2021-08-28,12081,2021-08-28
Arizona,AZ,2021-09-04,12465,2021-09-04
Arizona,AZ,2021-09-11,12904,2021-09-11
Arizona,AZ,2021-09-18,12622,2021-09-18
Arizona,AZ,2021-09-25,11453,2021-09-25
Arizona,AZ,2021-10-02,10813,2021-10-02
Arizona,AZ,2021-10-09,10648,2021-10-09
Arizona,AZ,2021-10-16,10329,2021-10-16
Arizona,AZ,2021-10-23,10380,2021-10-23
Arizona,AZ,2021-10-30,10894,2021-10-30
Arizona,AZ,2021-11-06,11757,2021-11-06
Arizona,AZ,2021-11-13,13264,2021-11-13
Arizona,AZ,2021-11-20,14979,2021-11-20
Arizona,AZ,2021-11-27,16343,2021-11-27
Arizona,AZ,2021-12-04,17552,2021-12-04
Arizona,AZ,2021-12-11,18251,2021-12-11
Arizona,AZ,2021-12-18,17170,2021-12-18
Arizona,AZ,2021-12-25,15461,2021-12-25
Arizona,AZ,2022-01-01,14806,2022-01-01
Arizona,AZ,2022-01-08,16954,2022-01-08
Arizona,AZ,2022-01-15,20563,2022-01-15
Arizona,AZ,2022-01-22,23282,2022-01-22
Arizona,AZ,2022-01-29,24385,2022-01-29
Arizona,AZ,2022-02-05,21492,2022-02-05
Arizona,AZ,2022-02-12,16588,2022-02-12
Arizona,AZ,2022-02-19,12381,2022-02-19
Arizona,AZ,2022-02-26,8534,2022-02-26
Arizona,AZ,2022-03-05,6200,2022-03-05
Arizona,AZ,2022-03-12,4225,2022-03-12
Arizona,AZ,2022-03-19,2956,2022-03-19
Arizona,AZ,2022-03-26,2257,2022-03-26
Arizona,AZ,2022-04-02,1712,2022-04-02
Arizona,AZ,2022-04-09,1367,2022-04-09
Arizona,AZ,2022-04-16,1266,2022-04-16
Arizona,AZ,2022-04-23,1209,2022-04-23
Arizona,AZ,2022-04-30,1145,2022-04-30
Arizona,AZ,2022-05-07,1267,2022-05-07
Arizona,AZ,2022-05-14,1452,2022-05-14
Arizona,AZ,2022-05-21,1836,2022-05-21
Arizona,AZ,2022-05-28,2137,2022-05-28
Arizona,AZ,2022-06-04,2835,2022-06-04
Arizona,AZ,2022-06-11,3444,2022-06-11
Arizona,AZ,2022-06-18,3735,2022-06-18
Arizona,AZ,2022-06-25,3907,2022-06-25
Arizona,AZ,2022-07-02,4158,2022-07-02
Arizona,AZ,2022-07-09,4043,2022-07-09
Arizona,AZ,2022-07-16,4271,2022-07-16
Arizona,AZ,2022-07-23,4770,2022-07-23
Arizona,AZ,2022-07-30,4691,2022-07-30
Arizona,AZ,2022-08-06,4141,2022-08-06
Arizona,AZ,2022-08-13,3811,2022-08-13
Arizona,AZ,2022-08-20,3673,2022-08-20
Arizona,AZ,2022-08-27,2954,2022-08-27
Arizona,AZ,2022-09-03,2440,2022-09-03
Arizona,AZ,2022-09-10,2219,2022-09-10
Arizona,AZ,2022-09-17,1910,2022-09-17
Arizona,AZ,2022-09-24,1654,2022-09-24
Arizona,AZ,2022-10-01,1610,2022-10-01
Arizona,AZ,2022-10-08,1515,2022-10-08
Arizona,AZ,2022-10-15,1489,2022-10-15
Arizona,AZ,2022-10-22,1864,2022-10-22
Arizona,AZ,2022-10-29,2165,2022-10-29
Arizona,AZ,2022-11-05,2540,2022-11-05
Arizona,AZ,2022-11-12,3620,2022-11-12
Arizona,AZ,2022-11-19,4473,2022-11-19
Arizona,AZ,2022-11-26,5602,2022-11-26
Arizona,AZ,2022-12-03,6655,2022-12-03
Arizona,AZ,2022-12-10,7009,2022-12-10
Arizona,AZ,2022-12-17,6119,2022-12-17
Arizona,AZ,2022-12-24,5265,2022-12-24
Arizona,AZ,2022-12-31,5016,2022-12-31
Arizona,AZ,2023-01-07,4557,2023-01-07
Arizona,AZ,2023-01-14,3594,2023-01-14
Arizona,AZ,2023-01-21,2844,2023-01-21
Arizona,AZ,2023-01-28,2469,2023-01-28
Arizona,AZ,2023-02-04,2170,2023-02-04
Arizona,AZ,2023-02-11,1996,2023-02-11
Arizona,AZ,2023-02-18,1958,2023-02-18
Arizona,AZ,2023-02-25,2108,2023-02-25
Arizona,AZ,2023-03-04,2164,2023-03-04
Arizona,AZ,2023-03-11,2025,2023-03-11
Arizona,AZ,2023-03-18,473,2023-03-18
Arkansas,AR,2020-01-04,0,2020-01-04
Arkansas,AR,2020-01-11,0,2020-01-11
Arkansas,AR,2020-03-14,0,2020-03-14
Arkansas,AR,2020-03-21,0,2020-03-21
Arkansas,AR,2020-03-28,0,2020-03-28
Arkansas,AR,2020-04-04,0,2020-04-04
Arkansas,AR,2020-04-11,0,2020-04-11
Arkansas,AR,2020-04-18,0,2020-04-18
Arkansas,AR,2020-04-25,0,2020-04-25
Arkansas,AR,2020-05-02,0,2020-05-02
Arkansas,AR,2020-05-09,0,2020-05-09
Arkansas,AR,2020-05-16,0,2020-05-16
Arkansas,AR,2020-05-23,0,2020-05-23
Arkansas,AR,2020-05-30,0,2020-05-30
Arkansas,AR,2020-06-06,0,2020-06-06
Arkansas,AR,2020-06-13,0,2020-06-13
Arkansas,AR,2020-06-20,0,2020-06-20
Arkansas,AR,2020-06-27,0,2020-06-27
Arkansas,AR,2020-07-04,0,2020-07-04
Arkansas,AR,2020-07-11,0,2020-07-11
Arkansas,AR,2020-07-18,1740,2020-07-18
Arkansas,AR,2020-07-25,3102,2020-07-25
Arkansas,AR,2020-08-01,3333,2020-08-01
Arkansas,AR,2020-08-08,3428,2020-08-08
Arkansas,AR,2020-08-15,3161,2020-08-15
Arkansas,AR,2020-08-22,3213,2020-08-22
Arkansas,AR,2020-08-29,2877,2020-08-29
Arkansas,AR,2020-09-05,2987,2020-09-05
Arkansas,AR,2020-09-12,2792,2020-09-12
Arkansas,AR,2020-09-19,2636,2020-09-19
Arkansas,AR,2020-09-26,2965,2020-09-26
Arkansas,AR,2020-10-03,3120,2020-10-03
Arkansas,AR,2020-10-10,3632,2020-10-10
Arkansas,AR,2020-10-17,3979,2020-10-17
Arkansas,AR,2020-10-24,4110,2020-10-24
Arkansas,AR,2020-10-31,4310,2020-10-31
Arkansas,AR,2020-11-07,4354,2020-11-07
Arkansas,AR,2020-11-14,5126,2020-11-14
Arkansas,AR,2020-11-21,5794,2020-11-21
Arkansas,AR,2020-11-28,6381,2020-11-28
Arkansas,AR,2020-12-05,6810,2020-12-05
Arkansas,AR,2020-12-12,6801,2020-12-12
Arkansas,AR,2020-12-19,7108,2020-12-19
Arkansas,AR,2020-12-26,7230,2020-12-26
Arkansas,AR,2021-01-02,7771,2021-01-02
Arkansas,AR,2021-01-09,8476,2021-01-09
Arkansas,AR,2021-01-16,8472,2021-01-16
Arkansas,AR,2021-01-23,7697,2021-01-23
Arkansas,AR,2021-01-30,6627,2021-01-30
Arkansas,AR,2021-02-06,5525,2021-02-06
Arkansas,AR,2021-02-13,4801,2021-02-13
Arkansas,AR,2021-02-20,4123,2021-02-20
Arkansas,AR,2021-02-27,3609,2021-02-27
Arkansas,AR,2021-03-06,2665,2021-03-06
Arkansas,AR,2021-03-13,1905,2021-03-13
Arkansas,AR,2021-03-20,1510,2021-03-20
Arkansas,AR,2021-03-27,1102,2021-03-27
Arkansas,AR,2021-04-03,959,2021-04-03
Arkansas,AR,2021-04-10,893,2021-04-10
Arkansas,AR,2021-04-17,928,2021-04-17
Arkansas,AR,2021-04-24,1010,2021-04-24
Arkansas,AR,2021-05-01,993,2021-05-01
Arkansas,AR,2021-05-08,976,2021-05-08
Arkansas,AR,2021-05-15,995,2021-05-15
Arkansas,AR,2021-05-22,1138,2021-05-22
Arkansas,AR,2021-05-29,1210,2021-05-29
Arkansas,AR,2021-06-05,1224,2021-06-05
Arkansas,AR,2021-06-12,1248,2021-06-12
Arkansas,AR,2021-06-19,1320,2021-06-19
Arkansas,AR,2021-06-26,1730,2021-06-26
Arkansas,AR,2021-07-03,2188,2021-07-03
Arkansas,AR,2021-07-10,2991,2021-07-10
Arkansas,AR,2021-07-17,4253,2021-07-17
Arkansas,AR,2021-07-24,5489,2021-07-24
Arkansas,AR,2021-07-31,6864,2021-07-31
