state,USPS,datew,incidD,date
Alabama,AL,2020-01-25,0,2020-01-25
Alabama,AL,2020-02-01,0,2020-02-01
Alabama,AL,2020-02-08,0,2020-02-08
Alabama,AL,2020-02-15,0,2020-02-15
Alabama,AL,2020-02-22,0,2020-02-22
Alabama,AL,2020-02-29,0,2020-02-29
Alabama,AL,2020-03-07,0,2020-03-07
Alabama,AL,2020-03-14,0,2020-03-14
Alabama,AL,2020-03-21,0,2020-03-21
Alabama,AL,2020-03-28,4,2020-03-28
Alabama,AL,2020-04-04,39,2020-04-04
Alabama,AL,2020-04-11,44,2020-04-11
Alabama,AL,2020-04-18,56,2020-04-18
Alabama,AL,2020-04-25,65,2020-04-25
Alabama,AL,2020-05-02,79,2020-05-02
Alabama,AL,2020-05-09,101,2020-05-09
Alabama,AL,2020-05-16,94,2020-05-16
Alabama,AL,2020-05-23,67,2020-05-23
Alabama,AL,2020-05-30,69,2020-05-30
Alabama,AL,2020-06-06,64,2020-06-06
Alabama,AL,2020-06-13,84,2020-06-13
Alabama,AL,2020-06-20,60,2020-06-20
Alabama,AL,2020-06-27,70,2020-06-27
Alabama,AL,2020-07-04,88,2020-07-04
Alabama,AL,2020-07-11,102,2020-07-11
Alabama,AL,2020-07-18,166,2020-07-18
Alabama,AL,2020-07-25,159,2020-07-25
Alabama,AL,2020-08-01,142,2020-08-01
Alabama,AL,2020-08-08,139,2020-08-08
Alabama,AL,2020-08-15,133,2020-08-15
Alabama,AL,2020-08-22,114,2020-08-22
Alabama,AL,2020-08-29,115,2020-08-29
Alabama,AL,2020-09-05,95,2020-09-05
Alabama,AL,2020-09-12,66,2020-09-12
Alabama,AL,2020-09-19,204,2020-09-19
Alabama,AL,2020-09-26,76,2020-09-26
Alabama,AL,2020-10-03,62,2020-10-03
Alabama,AL,2020-10-10,107,2020-10-10
Alabama,AL,2020-10-17,122,2020-10-17
Alabama,AL,2020-10-24,78,2020-10-24
Alabama,AL,2020-10-31,100,2020-10-31
Alabama,AL,2020-11-07,115,2020-11-07
Alabama,AL,2020-11-14,165,2020-11-14
Alabama,AL,2020-11-21,209,2020-11-21
Alabama,AL,2020-11-28,115,2020-11-28
Alabama,AL,2020-12-05,305,2020-12-05
Alabama,AL,2020-12-12,226,2020-12-12
Alabama,AL,2020-12-19,289,2020-12-19
Alabama,AL,2020-12-26,294,2020-12-26
Alabama,AL,2021-01-02,189,2021-01-02
Alabama,AL,2021-01-09,426,2021-01-09
Alabama,AL,2021-01-16,821,2021-01-16
Alabama,AL,2021-01-23,538,2021-01-23
Alabama,AL,2021-01-30,907,2021-01-30
Alabama,AL,2021-02-06,950,2021-02-06
Alabama,AL,2021-02-13,729,2021-02-13
Alabama,AL,2021-02-20,346,2021-02-20
Alabama,AL,2021-02-27,338,2021-02-27
Alabama,AL,2021-03-06,220,2021-03-06
Alabama,AL,2021-03-13,179,2021-03-13
Alabama,AL,2021-03-20,107,2021-03-20
Alabama,AL,2021-03-27,88,2021-03-27
Alabama,AL,2021-04-03,103,2021-04-03
Alabama,AL,2021-04-10,84,2021-04-10
Alabama,AL,2021-04-17,74,2021-04-17
Alabama,AL,2021-04-24,67,2021-04-24
Alabama,AL,2021-05-01,61,2021-05-01
Alabama,AL,2021-05-08,65,2021-05-08
Alabama,AL,2021-05-15,59,2021-05-15
Alabama,AL,2021-05-22,74,2021-05-22
Alabama,AL,2021-05-29,34,2021-05-29
Alabama,AL,2021-06-05,50,2021-06-05
Alabama,AL,2021-06-12,71,2021-06-12
Alabama,AL,2021-06-19,36,2021-06-19
Alabama,AL,2021-06-26,29,2021-06-26
