,State,Abbreviation,Reported Deaths,Date,,State,Abbreviation,Reported Deaths,Date
,Alabama,AL,61,4/24/2021,,Alabama_Hypothetical,AL_H,0,4/24/2021
,Alabama,AL,62,5/1/2021,,Alabama_Hypothetical,AL_H,0,5/1/2021
,Alabama,AL,65,5/8/2021,,Alabama_Hypothetical,AL_H,0,5/8/2021
,Alabama,AL,60,5/15/2021,,Alabama_Hypothetical,AL_H,0,5/15/2021
,Alabama,AL,74,5/22/2021,,Alabama_Hypothetical,AL_H,0,5/22/2021
,Alabama,AL,34,5/29/2021,,Alabama_Hypothetical,AL_H,0,5/29/2021
,Alabama,AL,52,6/5/2021,,Alabama_Hypothetical,AL_H,0,6/5/2021
,Alabama,AL,68,6/12/2021,,Alabama_Hypothetical,AL_H,0,6/12/2021
,Alabama,AL,40,6/19/2021,,Alabama_Hypothetical,AL_H,0,6/19/2021
,Alabama,AL,30,6/26/2021,,Alabama_Hypothetical,AL_H,0,6/26/2021
,Alabama,AL,22,7/3/2021,,Alabama_Hypothetical,AL_H,0,7/3/2021
,Alabama,AL,44,7/10/2021,,Alabama_Hypothetical,AL_H,0,7/10/2021
,Alabama,AL,41,7/17/2021,,Alabama_Hypothetical,AL_H,0,7/17/2021
,Alabama,AL,40,7/24/2021,,Alabama_Hypothetical,AL_H,0,7/24/2021
,Alabama,AL,53,7/31/2021,,Alabama_Hypothetical,AL_H,0,7/31/2021
,Alabama,AL,88,8/7/2021,,Alabama_Hypothetical,AL_H,0,8/7/2021
,Alabama,AL,141,8/14/2021,,Alabama_Hypothetical,AL_H,0,8/14/2021
,Alabama,AL,235,8/21/2021,,Alabama_Hypothetical,AL_H,0,8/21/2021
,Alabama,AL,219,8/28/2021,,Alabama_Hypothetical,AL_H,0,8/28/2021
,Alabama,AL,195,9/4/2021,,Alabama_Hypothetical,AL_H,0,9/4/2021
,Alabama,AL,259,9/11/2021,,Alabama_Hypothetical,AL_H,0,9/11/2021
,Alabama,AL,536,9/18/2021,,Alabama_Hypothetical,AL_H,0,9/18/2021
,Alabama,AL,813,9/25/2021,,Alabama_Hypothetical,AL_H,0,9/25/2021
,Alabama,AL,447,10/2/2021,,Alabama_Hypothetical,AL_H,0,10/2/2021
,Alabama,AL,388,10/9/2021,,Alabama_Hypothetical,AL_H,0,10/9/2021
,Alabama,AL,322,10/16/2021,,Alabama_Hypothetical,AL_H,0,10/16/2021
,Alabama,AL,227,10/23/2021,,Alabama_Hypothetical,AL_H,0,10/23/2021
,Alabama,AL,167,10/30/2021,,Alabama_Hypothetical,AL_H,0,10/30/2021
,Alabama,AL,261,11/6/2021,,Alabama_Hypothetical,AL_H,0,11/6/2021
,Alabama,AL,147,11/13/2021,,Alabama_Hypothetical,AL_H,0,11/13/2021
,Alabama,AL,92,11/20/2021,,Alabama_Hypothetical,AL_H,5283,11/20/2021
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
