state,USPS,datew,incidD,date
Alabama,AL,2020-01-25,0,2020-01-25
Alabama,AL,2020-02-01,0,2020-02-01
Alabama,AL,2020-02-08,0,2020-02-08
Alabama,AL,2020-02-15,0,2020-02-15
Alabama,AL,2020-02-22,0,2020-02-22
Alabama,AL,2020-02-29,0,2020-02-29
Alabama,AL,2020-03-07,0,2020-03-07
Alabama,AL,2020-03-14,0,2020-03-14
Alabama,AL,2020-03-21,0,2020-03-21
Alabama,AL,2020-03-28,4,2020-03-28
Alabama,AL,2020-04-04,40,2020-04-04
Alabama,AL,2020-04-11,48,2020-04-11
Alabama,AL,2020-04-18,61,2020-04-18
Alabama,AL,2020-04-25,56,2020-04-25
Alabama,AL,2020-05-02,81,2020-05-02
Alabama,AL,2020-05-09,102,2020-05-09
Alabama,AL,2020-05-16,95,2020-05-16
Alabama,AL,2020-05-23,64,2020-05-23
Alabama,AL,2020-05-30,69,2020-05-30
Alabama,AL,2020-06-06,71,2020-06-06
Alabama,AL,2020-06-13,84,2020-06-13
Alabama,AL,2020-06-20,65,2020-06-20
Alabama,AL,2020-06-27,81,2020-06-27
Alabama,AL,2020-07-04,88,2020-07-04
Alabama,AL,2020-07-11,107,2020-07-11
Alabama,AL,2020-07-18,172,2020-07-18
Alabama,AL,2020-07-25,170,2020-07-25
Alabama,AL,2020-08-01,147,2020-08-01
Alabama,AL,2020-08-08,152,2020-08-08
Alabama,AL,2020-08-15,141,2020-08-15
Alabama,AL,2020-08-22,115,2020-08-22
Alabama,AL,2020-08-29,141,2020-08-29
Alabama,AL,2020-09-05,123,2020-09-05
Alabama,AL,2020-09-12,75,2020-09-12
Alabama,AL,2020-09-19,87,2020-09-19
Alabama,AL,2020-09-26,94,2020-09-26
Alabama,AL,2020-10-03,57,2020-10-03
Alabama,AL,2020-10-10,106,2020-10-10
Alabama,AL,2020-10-17,124,2020-10-17
Alabama,AL,2020-10-24,78,2020-10-24
Alabama,AL,2020-10-31,101,2020-10-31
Alabama,AL,2020-11-07,115,2020-11-07
Alabama,AL,2020-11-14,164,2020-11-14
Alabama,AL,2020-11-21,211,2020-11-21
Alabama,AL,2020-11-28,115,2020-11-28
Alabama,AL,2020-12-05,305,2020-12-05
Alabama,AL,2020-12-12,225,2020-12-12
Alabama,AL,2020-12-19,287,2020-12-19
Alabama,AL,2020-12-26,296,2020-12-26
Alabama,AL,2021-01-02,187,2021-01-02
Alabama,AL,2021-01-09,427,2021-01-09
Alabama,AL,2021-01-16,820,2021-01-16
Alabama,AL,2021-01-23,538,2021-01-23
Alabama,AL,2021-01-30,909,2021-01-30
Alabama,AL,2021-02-06,947,2021-02-06
Alabama,AL,2021-02-13,729,2021-02-13
Alabama,AL,2021-02-20,348,2021-02-20
Alabama,AL,2021-02-27,340,2021-02-27
Alabama,AL,2021-03-06,221,2021-03-06
Alabama,AL,2021-03-13,180,2021-03-13
Alabama,AL,2021-03-20,109,2021-03-20
Alabama,AL,2021-03-27,90,2021-03-27
Alabama,AL,2021-04-03,113,2021-04-03
Alabama,AL,2021-04-10,75,2021-04-10
Alabama,AL,2021-04-17,78,2021-04-17
Alabama,AL,2021-04-24,61,2021-04-24
Alabama,AL,2021-05-01,62,2021-05-01
Alabama,AL,2021-05-08,65,2021-05-08
Alabama,AL,2021-05-15,60,2021-05-15
Alabama,AL,2021-05-22,74,2021-05-22
Alabama,AL,2021-05-29,34,2021-05-29
Alabama,AL,2021-06-05,52,2021-06-05
Alabama,AL,2021-06-12,68,2021-06-12
Alabama,AL,2021-06-19,40,2021-06-19
Alabama,AL,2021-06-26,30,2021-06-26
